ClienteID,Nombre,Sexo,ingresos,PromVisit,Edad,Sauna,Masaje,Hidro,Yoga,Tienda
Abbi Boyda_Spa Escalon,Abbi Boyda,False,1803.3399999999999,3.6299999999999999,62,True,True,False,True,Spa Escalon
Addy Dillinton_Spa Escalon,Addy Dillinton,False,1167.5799999999999,1.5,43,False,False,False,True,Spa Escalon
Adriano Bellison_Spa Santa Tecla,Adriano Bellison,False,1874.1700000000001,2.4399999999999999,55,True,True,False,False,Spa Santa Tecla
Aeriell Gligori_Spa Escalon,Aeriell Gligori,False,608.07000000000005,1.6899999999999999,50,False,True,True,True,Spa Escalon
Aggi Conningham_Spa Centro,Aggi Conningham,False,2268.5700000000002,3.5299999999999998,33,True,True,False,False,Spa Centro
Alford Pieroni_Spa Santa Tecla,Alford Pieroni,True,1155.8299999999999,1.5900000000000001,39,False,True,False,False,Spa Santa Tecla
Alfreda Pere_Spa Escalon,Alfreda Pere,True,2493.1500000000001,1.1799999999999999,51,True,False,False,False,Spa Escalon
Alina Edson_Spa Escalon,Alina Edson,True,400.33999999999997,2.8999999999999999,38,True,False,True,True,Spa Escalon
Almeria O'Kielt_Spa Santa Tecla,Almeria O'Kielt,False,647.63999999999999,2.9500000000000002,48,False,False,False,False,Spa Santa Tecla
Amabel Halhead_Spa Santa Tecla,Amabel Halhead,False,1487.8199999999999,2.2599999999999998,26,False,False,False,True,Spa Santa Tecla
Amanda Apfler_Spa Santa Tecla,Amanda Apfler,False,913.25999999999999,1.6699999999999999,39,True,False,False,False,Spa Santa Tecla
Ame Crum_Spa Escalon,Ame Crum,True,2999.1999999999998,3.2799999999999998,30,True,True,True,True,Spa Escalon
Amil Issitt_Spa Escalon,Amil Issitt,True,2172.5999999999999,1.47,27,False,True,False,True,Spa Escalon
Anabella Bugdell_Spa Santa Tecla,Anabella Bugdell,False,786.44000000000005,2.5,22,False,False,True,True,Spa Santa Tecla
Angelita Jaquemar_Spa Escalon,Angelita Jaquemar,True,1458.8399999999999,2.8199999999999998,36,True,True,False,True,Spa Escalon
Angelle Ewence_Spa Santa Tecla,Angelle Ewence,False,256.41000000000003,3.3999999999999999,36,False,False,False,False,Spa Santa Tecla
Annabell O'Luney_Spa Escalon,Annabell O'Luney,False,2354.5500000000002,3.1499999999999999,33,False,True,True,False,Spa Escalon
Anneliese Iwaszkiewicz_Spa Escalon,Anneliese Iwaszkiewicz,False,668.67999999999995,1.9299999999999999,25,False,True,True,False,Spa Escalon
Anni Slora_Spa Escalon,Anni Slora,True,2213.1399999999999,1.6499999999999999,50,False,False,False,True,Spa Escalon
Anstice Drache_Spa Santa Tecla,Anstice Drache,False,2916.96,2.5699999999999998,49,True,True,True,True,Spa Santa Tecla
Antonin Rolfo_Spa Escalon,Antonin Rolfo,True,1862.99,2.8999999999999999,28,False,False,False,True,Spa Escalon
Arabella Hardin_Spa Escalon,Arabella Hardin,True,1626.0699999999999,2.6400000000000001,23,True,False,True,True,Spa Escalon
Arabelle Bale_Spa Escalon,Arabelle Bale,False,2945.9499999999998,3.4900000000000002,30,True,False,True,True,Spa Escalon
Archy Cawthry_Spa Escalon,Archy Cawthry,True,2031.0599999999999,2.3199999999999998,34,True,True,False,True,Spa Escalon
Arden Gillise_Spa Escalon,Arden Gillise,False,1315.22,3.0899999999999999,58,True,False,False,False,Spa Escalon
Armin Cano_Spa Escalon,Armin Cano,False,1837.0899999999999,1.0700000000000001,32,True,False,True,True,Spa Escalon
Arte MacCart_Spa Santa Tecla,Arte MacCart,True,1510.6800000000001,2.04,35,False,True,True,False,Spa Santa Tecla
Artie Jahner_Spa Santa Tecla,Artie Jahner,True,1740.9000000000001,1.46,50,False,False,False,True,Spa Santa Tecla
Arturo Cornels_Spa Escalon,Arturo Cornels,True,2331.3499999999999,1.6000000000000001,59,False,False,False,True,Spa Escalon
Aurthur Wapplington_Spa Escalon,Aurthur Wapplington,False,802.05999999999995,2.5800000000000001,51,True,False,True,True,Spa Escalon
Austen Shrimplin_Spa Santa Tecla,Austen Shrimplin,False,1097.77,1.98,32,True,True,False,False,Spa Santa Tecla
Baird Lagne_Spa Escalon,Baird Lagne,False,803.75,2.1600000000000001,28,True,True,False,True,Spa Escalon
Balduin Alcock_Spa Santa Tecla,Balduin Alcock,False,1755.4200000000001,2.0499999999999998,24,False,False,False,False,Spa Santa Tecla
Barbaraanne Doerrling_Spa Escalon,Barbaraanne Doerrling,True,449.98000000000002,1.6000000000000001,60,True,True,False,True,Spa Escalon
Barbey Cairney_Spa Escalon,Barbey Cairney,True,874.77999999999997,2.2200000000000002,59,True,False,True,True,Spa Escalon
Barris Gynne_Spa Escalon,Barris Gynne,True,609.09000000000003,3.5499999999999998,25,False,False,False,False,Spa Escalon
Bart Oty_Spa Escalon,Bart Oty,False,2343.6700000000001,3.8900000000000001,55,False,True,True,True,Spa Escalon
Beatriz Gonning_Spa Escalon,Beatriz Gonning,True,1473.24,1.98,60,False,False,False,False,Spa Escalon
Belinda Parkin_Spa Escalon,Belinda Parkin,True,2997.1500000000001,1.6699999999999999,31,True,True,True,False,Spa Escalon
Bernadette Jeanequin_Spa Escalon,Bernadette Jeanequin,False,982,1.95,36,False,True,True,False,Spa Escalon
Berti Joncic_Spa Escalon,Berti Joncic,True,763.83000000000004,3.7000000000000002,40,False,False,False,True,Spa Escalon
Bertrando Ellicombe_Spa Santa Tecla,Bertrando Ellicombe,False,2991.3400000000001,1.1499999999999999,53,False,True,True,True,Spa Santa Tecla
Beverley Severs_Spa Escalon,Beverley Severs,False,1275.4200000000001,1.3400000000000001,39,True,True,True,False,Spa Escalon
Beverly Henze_Spa Escalon,Beverly Henze,True,2907.29,2.9500000000000002,49,False,True,False,True,Spa Escalon
Bevvy Carragher_Spa Escalon,Bevvy Carragher,True,2875.3499999999999,2.3399999999999999,34,True,True,True,True,Spa Escalon
Biddy Verchambre_Spa Escalon,Biddy Verchambre,False,2045.8499999999999,3.6200000000000001,52,False,True,False,True,Spa Escalon
Bil Getsham_Spa Escalon,Bil Getsham,False,2280.5700000000002,2.6600000000000001,24,True,False,True,True,Spa Escalon
Bird Traut_Spa Santa Tecla,Bird Traut,False,2479.27,3.8500000000000001,39,True,True,False,True,Spa Santa Tecla
Blinnie Gilhespy_Spa Escalon,Blinnie Gilhespy,True,2532.52,3.6699999999999999,52,True,False,True,True,Spa Escalon
Boigie Beedon_Spa Escalon,Boigie Beedon,False,575.52999999999997,1.1100000000000001,55,False,True,False,False,Spa Escalon
Boigie Voak_Spa Santa Tecla,Boigie Voak,False,356.58999999999997,1.6899999999999999,25,False,True,False,True,Spa Santa Tecla
Bowie Comusso_Spa Escalon,Bowie Comusso,False,1846.04,2.5699999999999998,50,False,True,True,False,Spa Escalon
Brandise Dargue_Spa Escalon,Brandise Dargue,False,2786.6399999999999,1.51,63,True,False,False,False,Spa Escalon
Brenda Pobjoy_Spa Escalon,Brenda Pobjoy,False,2219.29,1.3999999999999999,39,False,False,False,False,Spa Escalon
Briggs Aspland_Spa Escalon,Briggs Aspland,True,1829.46,1.8400000000000001,51,True,True,False,True,Spa Escalon
Brigit Prescote_Spa Santa Tecla,Brigit Prescote,False,1385.24,3.46,31,False,True,False,False,Spa Santa Tecla
Brigitte Bedward_Spa Escalon,Brigitte Bedward,True,1157.5799999999999,2.4900000000000002,63,True,False,True,False,Spa Escalon
Brina Maidstone_Spa Santa Tecla,Brina Maidstone,False,278.37,3.2999999999999998,53,False,True,False,True,Spa Santa Tecla
Britte Campe_Spa Escalon,Britte Campe,True,1828.8599999999999,1.29,22,False,True,False,True,Spa Escalon
Brock Morena_Spa Escalon,Brock Morena,True,1680.75,2.0299999999999998,64,False,True,False,True,Spa Escalon
Brok Coke_Spa Escalon,Brok Coke,True,725.30999999999995,3.8500000000000001,34,True,False,True,True,Spa Escalon
Bronnie Tommasetti_Spa Escalon,Bronnie Tommasetti,True,1543.6199999999999,3.7799999999999998,65,False,True,False,True,Spa Escalon
Bruis Escalera_Spa Escalon,Bruis Escalera,True,2575.1199999999999,1.3899999999999999,28,True,False,False,True,Spa Escalon
Buddy Sea_Spa Escalon,Buddy Sea,False,2316.1799999999998,1.52,45,True,True,False,False,Spa Escalon
Buffy McAlister_Spa Escalon,Buffy McAlister,False,2338.4099999999999,2.0699999999999998,39,True,False,False,False,Spa Escalon
Candra Fydo_Spa Santa Tecla,Candra Fydo,False,1273.46,3.48,36,True,True,False,False,Spa Santa Tecla
Carey Billington_Spa Santa Tecla,Carey Billington,False,2454.9400000000001,3.27,25,True,True,True,True,Spa Santa Tecla
Carmella Solway_Spa Escalon,Carmella Solway,False,1526.3299999999999,2.8799999999999999,38,True,True,True,False,Spa Escalon
Carmine Roskelley_Spa Escalon,Carmine Roskelley,True,2424.0300000000002,1.6899999999999999,64,True,False,False,True,Spa Escalon
Case Moyler_Spa Escalon,Case Moyler,True,2140.6300000000001,3.52,23,False,False,True,True,Spa Escalon
